application_id,ai_decision,customer_type,human_decision,human_rule_reasons
APP_0001,approved,bank,approved,
APP_0002,denied,bank,approved,why not 
APP_0003,approved,bank,approved,
APP_0004,approved,bank,approved,
APP_0005,approved,non-bank,approved,
APP_0006,approved,bank,approved,
APP_0007,approved,bank,approved,
APP_0008,approved,bank,approved,
APP_0009,approved,non-bank,approved,
APP_0010,approved,bank,approved,
APP_0011,approved,bank,approved,
APP_0012,approved,bank,approved,
APP_0013,approved,bank,approved,
APP_0014,approved,bank,approved,
APP_0015,approved,bank,approved,
APP_0016,approved,non-bank,approved,
APP_0017,approved,bank,approved,
APP_0018,approved,non-bank,approved,
APP_0019,approved,bank,approved,
APP_0020,approved,bank,approved,
APP_0021,approved,bank,approved,
APP_0022,approved,bank,approved,
APP_0023,approved,bank,approved,
APP_0024,approved,bank,approved,
APP_0025,approved,bank,approved,
APP_0026,approved,non-bank,approved,
APP_0027,approved,bank,approved,
APP_0028,approved,non-bank,approved,
APP_0029,approved,non-bank,approved,
APP_0030,approved,bank,approved,
APP_0031,approved,bank,approved,
APP_0032,approved,bank,approved,
APP_0033,approved,bank,approved,
APP_0034,approved,bank,approved,
APP_0035,approved,bank,approved,
APP_0036,approved,non-bank,approved,
APP_0037,approved,non-bank,approved,
APP_0038,approved,bank,approved,
APP_0039,approved,non-bank,approved,
APP_0040,approved,bank,approved,
APP_0041,approved,bank,approved,
APP_0042,approved,bank,approved,
APP_0043,approved,bank,approved,
APP_0044,approved,bank,approved,
APP_0045,approved,bank,approved,
APP_0046,approved,bank,approved,
APP_0047,approved,bank,approved,
APP_0048,approved,non-bank,approved,
APP_0049,approved,bank,approved,
APP_0050,approved,non-bank,approved,
APP_0051,approved,non-bank,approved,
APP_0052,approved,non-bank,approved,
APP_0053,approved,bank,approved,
APP_0054,approved,bank,approved,
APP_0055,approved,bank,approved,
APP_0056,approved,bank,approved,
APP_0057,approved,bank,approved,
APP_0058,approved,bank,approved,
APP_0059,denied,non-bank,denied,
APP_0060,approved,non-bank,approved,
APP_0061,approved,bank,approved,
APP_0062,approved,bank,approved,
APP_0063,denied,bank,denied,
APP_0064,approved,bank,approved,
APP_0065,approved,bank,approved,
APP_0066,approved,bank,approved,
APP_0067,approved,bank,approved,
APP_0068,approved,bank,approved,
APP_0069,approved,non-bank,approved,
APP_0070,approved,bank,approved,
APP_0071,approved,non-bank,approved,
APP_0072,approved,bank,approved,
APP_0073,approved,bank,approved,
APP_0074,approved,non-bank,approved,
APP_0075,approved,non-bank,approved,
APP_0076,approved,non-bank,approved,
APP_0077,approved,non-bank,approved,
APP_0078,approved,bank,approved,
APP_0079,approved,bank,approved,
APP_0080,approved,bank,approved,
APP_0081,approved,bank,approved,
APP_0082,denied,bank,denied,
APP_0083,approved,bank,approved,
