application_id,ai_decision,customer_type,human_decision,human_rule_reasons
APP_0001,denied,bank,approved,yes
APP_0002,denied,bank,denied,
APP_0003,denied,bank,denied,
APP_0004,denied,bank,denied,
APP_0005,approved,non-bank,approved,
APP_0006,denied,bank,denied,
APP_0007,approved,bank,approved,
APP_0008,approved,bank,approved,
APP_0009,approved,non-bank,approved,
APP_0010,approved,bank,approved,
APP_0011,denied,bank,denied,
APP_0012,approved,bank,approved,
APP_0013,approved,bank,approved,
APP_0014,denied,bank,denied,
APP_0015,approved,bank,approved,
APP_0016,approved,non-bank,approved,
APP_0017,denied,bank,denied,
APP_0018,denied,non-bank,denied,
APP_0019,approved,bank,approved,
APP_0020,denied,bank,denied,
APP_0021,denied,bank,denied,
APP_0022,denied,bank,denied,
APP_0023,approved,bank,approved,
APP_0024,denied,bank,denied,
APP_0025,approved,bank,approved,
APP_0026,denied,non-bank,denied,
APP_0027,approved,bank,approved,
APP_0028,denied,non-bank,denied,
APP_0029,approved,non-bank,approved,
APP_0030,denied,bank,denied,
APP_0031,denied,bank,denied,
APP_0032,approved,bank,approved,
APP_0033,approved,bank,approved,
APP_0034,approved,bank,approved,
APP_0035,denied,bank,denied,
APP_0036,approved,non-bank,approved,
APP_0037,denied,non-bank,denied,
APP_0038,denied,bank,denied,
APP_0039,denied,non-bank,denied,
APP_0040,denied,bank,denied,
APP_0041,approved,bank,approved,
APP_0042,denied,bank,denied,
APP_0043,approved,bank,approved,
APP_0044,denied,bank,denied,
APP_0045,denied,bank,denied,
APP_0046,denied,bank,denied,
APP_0047,denied,bank,denied,
APP_0048,denied,non-bank,denied,
APP_0049,approved,bank,approved,
APP_0050,approved,non-bank,approved,
APP_0051,denied,non-bank,denied,
APP_0052,approved,non-bank,approved,
APP_0053,approved,bank,approved,
APP_0054,approved,bank,approved,
APP_0055,denied,bank,denied,
APP_0056,approved,bank,approved,
APP_0057,denied,bank,denied,
APP_0058,denied,bank,denied,
APP_0059,denied,non-bank,denied,
APP_0060,approved,non-bank,approved,
APP_0061,approved,bank,approved,
APP_0062,denied,bank,denied,
APP_0063,denied,bank,denied,
APP_0064,denied,bank,denied,
