asset_id,asset_type,country,city,geo_lat,geo_lon,location_quality,currency_code,valuation_date,age_years,base_value_hint,year_built,floor,floors_total,bedrooms,bathrooms,parking_slots,area_m2,land_area_m2,frontage_m,road_width_m,zoning,condition_grade,occupancy,monthly_rent,flood_risk_zone,school_dist_km,metro_dist_km,shape_quality,road_access,year_make_model,vehicle_year,odometer_km,engine_cc,accident_history,service_records_count,ownership_count,deposit_amount,interest_rate_apy,maturity_months,inspection_needed,legal_status,ownership_verified,lien_count,registry_id,requested_amount,market_value,estimated_value,LTV,CCR,quality_score
A-000001,Apartment,US,San Jose,37.3192,-121.87499,C,USD,2025-10-30,45,201971.0,1980.0,19.0,21.0,0.0,3.0,1.0,212.0,370.0,28.1,20.38,Commercial,B,owner,4936.0,0.0,1.04,1.9,,,,,,,,,,,,,True,Clean,True,2,REG-762177132,36239.0,75931.66,80573.14,0.4498,2.2234,0.762
A-000002,Land Plot,UK,London,51.49143,-0.12704,B,USD,2025-10-30,44,165657.0,,,,,,,,7742.0,22.92,,Agricultural,,,,,,,B,False,,,,,,,,,,,False,Clean,False,1,REG-930275054,973580.0,2667631.47,2555570.08,0.381,2.6249,0.782
A-000003,Land Plot,FR,Paris,48.87487,2.36086,C,USD,2025-10-30,17,118636.0,,,,,,,,5479.0,12.69,,Agricultural,,,,,,,A,False,,,,,,,,,,,True,Clean,True,0,REG-908278862,840143.0,1328447.53,1231659.78,0.6821,1.466,0.749
A-000004,Land Plot,DE,Berlin,52.50722,13.4045,A,USD,2025-10-30,33,59303.0,,,,,,,,6134.0,39.91,,Industrial,,,,,,,B,True,,,,,,,,,,,False,Clean,True,0,REG-869572005,301350.0,955428.86,933341.65,0.3229,3.0972,0.856
A-000005,Condo,VN,Ho Chi Minh,10.75449,106.67733,A,USD,2025-10-30,39,116518.0,1986.0,14.0,20.0,4.0,3.0,1.0,178.0,406.0,25.16,7.51,Commercial,A,tenant,136.0,0.0,1.53,1.21,,,,,,,,,,,,,False,Clean,True,0,REG-490885124,37054.0,70839.39,70490.56,0.5257,1.9024,0.866
A-000006,House,VN,Hanoi,21.01841,105.80625,A,USD,2025-10-30,29,385888.0,1996.0,0.0,3.0,1.0,3.0,2.0,834.0,3911.0,22.64,15.13,Industrial,A,vacant,1633.0,0.0,0.27,1.55,,,,,,,,,,,,,False,Pending Verification,False,0,REG-917722620,155380.0,213345.38,214114.81,0.7257,1.378,0.916
A-000007,House,JP,Tokyo,35.68465,139.69044,C,USD,2025-10-30,47,135813.0,1978.0,0.0,1.0,2.0,1.0,0.0,2002.0,791.0,6.69,18.87,Mixed,D,tenant,1023.0,0.0,2.64,1.02,,,,,,,,,,,,,False,Clean,True,1,REG-474226661,33449.0,48381.3,50408.79,0.6636,1.507,0.713
A-000008,House,US,New York,40.76828,-74.00171,C,USD,2025-10-30,31,442915.0,1994.0,0.0,3.0,1.0,1.0,1.0,2489.0,128.0,7.65,17.96,Mixed,B,tenant,713.0,0.0,2.28,2.61,,,,,,,,,,,,,True,Clean,False,2,REG-590504032,110608.0,145919.89,137274.54,0.8057,1.2411,0.659
A-000009,Apartment,US,San Jose,37.38257,-121.90643,C,USD,2025-10-30,17,185716.0,2008.0,13.0,36.0,1.0,3.0,2.0,92.0,164.0,5.17,14.75,Mixed,D,tenant,5954.0,1.0,1.88,1.43,,,,,,,,,,,,,True,Clean,False,2,REG-671347978,55855.0,88542.88,93440.58,0.5978,1.6729,0.566
A-000010,Deposit,UK,London,51.53072,-0.11634,D,USD,2025-10-30,9,226554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,97841.0,3.8,26.0,True,Clean,False,0,REG-902720307,38961.0,97841.0,93463.95,0.4169,2.3989,0.673
A-000011,Deposit,FR,Paris,48.85211,2.3499,A,USD,2025-10-30,1,206521.0,,,,,,,,,,,,,,,,,,,,,,,,,,,484961.0,3.28,7.0,True,Clean,False,0,REG-218639995,313833.0,484961.0,455407.16,0.6891,1.4511,0.854
A-000012,Deposit,DE,Berlin,52.53832,13.38347,A,USD,2025-10-30,23,292204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,157464.0,3.19,19.0,True,Clean,True,2,REG-172782596,122477.0,157464.0,156247.55,0.7839,1.2757,0.941
A-000013,Land Plot,VN,Ho Chi Minh,10.77552,106.70485,C,USD,2025-10-30,0,387505.0,,,,,,,,1377.0,56.32,,Industrial,,,,,,,C,False,,,,,,,,,,,True,Clean,False,1,REG-477202886,302961.0,980716.53,1039846.56,0.2914,3.4323,0.755
A-000014,House,VN,Hanoi,21.00692,105.79705,B,USD,2025-10-30,17,276777.0,2008.0,0.0,1.0,2.0,3.0,1.0,394.0,3287.0,26.55,15.26,Industrial,B,tenant,1487.0,1.0,4.91,0.26,,,,,,,,,,,,,True,Disputed,True,1,REG-642796440,108361.0,152122.24,144616.1,0.7493,1.3346,0.672
A-000015,Car,JP,Tokyo,35.69555,139.6987,B,USD,2025-10-30,42,8600.0,,,,,,,,,,,,,,,,,,,,2013 Honda Elantra,2013.0,18078.0,2490.0,0.0,8.0,3.0,,,,True,Clean,False,1,REG-119033214,2461.0,3337.26,3216.86,0.765,1.3071,0.76
